Tag,content
1:http://pec.ac.in
p,Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.
p,PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.
p,A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.
p,PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.
p,One week STC on Micro Manufacturing from 4th to 8th January, 2021
p,Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19
p,Manual to Access pec.edu.in Email ID
p,As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Punjab Engineering College (Deemed to be University), Chandigarh
h3,Distinguished Alumnus Award
h3,Top Stories
h3,Explore
h3,Announcements
h3,Important Links
h3,Headlines
h3,Connect
h3,Recent Research Activities
h3,Research
h3,Academics
h3,Facilities
h3,Information

2:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

3:http://pec.ac.in/rules-guidelines-forms
p,Quick Links
p,Archive
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Institute
h3,Research
h3,Academics
h3,Facilities
h3,Information

4:http://pec.ac.in/library
p,Quick Links
p,Central Library offers its services to about 3000 users comprising of undergraduate, postgraduate students and research scholars of different branches of Engineering, Faculty and Staff from various departments of the Institute and retired Faculty of the Institute.
p,Library is housed in an area of 27000 sq. feet, having two interlinked buildings as Old Block and New Block. New Block is a spacious library extension block consisting of three separate floors with centrally air-conditioning facility.
p,Library is organized into various sections viz. Circular Section, Periodical Section, Reference Section, Multimedia Section, Newspaper/ Magazine Section, Technical Section, Book Bank (General and book bank SC/ST), Binding Section, which are manned by professionally qualified staff.
p,Library is member of INDEST-AICTE Consortium under the Ministry of HRD since 2003 and UGC-Infonet Consortium under INFLIBNET since 2011. However, based on the recommendation of an Expert Committee, the MHRD has formed e-ShodhSindhu merging three consortia initiatives, namely UGC-INFONET Digital Library Consortium, NLIST and INDEST-AICTE Consortium.
p,Lending Services
p,Monday to Friday 9 A.M. to 5 P.M.
p,Reading Halls
p,Monday to Friday 9 A.M. to 10 P.M.
p,Saturday, Sunday and Institute Holidays 9 A.M. to 5 P.M.
p,During Mid Term and End-Semester exam and a week before End-Semester Exam
p,All seven days 9 A.M. to 12 midnight
p,Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012
h3,Central Library
h3,Research
h3,Academics
h3,Facilities
h3,Information

5:http://pec.ac.in/teqip-third-phase
p,Archive
p,Quick Links
p,The Technical Education Quality Improvement Programme of Government of India (TEQIP)
p,The Technical Education Quality Improvement Programme aims to upscale and support ongoing efforts of GOI to improve quality of technical education and enhance existing capacities of the institutions to become dynamic, demand-driven, quality conscious, efficient and forward looking, responsive to rapid economic and technological developments occurring both at national and international levels.
